paper_title,arxiv_id,fig1_file_path,abstract,fig1_caption
Quantized Side Tuning: Fast and Memory-Efficient Tuning of Quantized Large Language Models,2401.07159v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2401.07159v1_0.pdf;/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2401.07159v1_1.pdf,"Finetuning large language models (LLMs) has been empirically effective on a variety of downstream tasks. Existing approaches to finetuning an LLM either focus on parameter-efficient finetuning, which only updates a small number of trainable parameters, or attempt to reduce the memory footprint during the training phase of the finetuning. Typically, the memory footprint during finetuning stems from three contributors: model weights, optimizer states, and intermediate activations. However, existing works still require considerable memory and none can simultaneously mitigate memory footprint for all three sources. In this paper, we present Quantized Side Tuing (QST), which enables memory-efficient and fast finetuning of LLMs by operating through a dual-stage process. First, QST quantizes an LLM's model weights into 4-bit to reduce the memory footprint of the LLM's original weights; QST also introduces a side network separated from the LLM, which utilizes the hidden states of the LLM to make task-specific predictions. Using a separate side network avoids performing backpropagation through the LLM, thus reducing the memory requirement of the intermediate activations. Furthermore, QST leverages several low-rank adaptors and gradient-free downsample modules to significantly reduce the trainable parameters, so as to save the memory footprint of the optimizer states. Experiments show that QST can reduce the total memory footprint by up to 2.3 $$ and speed up the finetuning process by up to 3 $$ while achieving competent performance compared with the state-of-the-art. When it comes to full finetuning, QST can reduce the total memory footprint up to 7 $$.","Figure \ref{fig:mem_comp_70b} shows the memory footprint of different methods of fintuning LLaMA-2-70b. Figure \ref{fig:acc_comp_7ob} shows the MMLU 5-shot accuracy of different methods when tuning LLaMA-2-7B, LLaMA-2-13B, and LLaMA-2-70B. Note that we set the batch size to 16 and the sequence length to 384. Larger markers represent larger models."
Unsupervised Multimodal Clustering for Semantics Discovery in Multimodal Utterances,2405.12775v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2405.12775v1_0.pdf,"Discovering the semantics of multimodal utterances is essential for understanding human language and enhancing human-machine interactions. Existing methods manifest limitations in leveraging nonverbal information for discerning complex semantics in unsupervised scenarios. This paper introduces a novel unsupervised multimodal clustering method (UMC), making a pioneering contribution to this field. UMC introduces a unique approach to constructing augmentation views for multimodal data, which are then used to perform pre-training to establish well-initialized representations for subsequent clustering. An innovative strategy is proposed to dynamically select high-quality samples as guidance for representation learning, gauged by the density of each sample's nearest neighbors. Besides, it is equipped to automatically determine the optimal value for the top-$K$ parameter in each cluster to refine sample selection. Finally, both high- and low-quality samples are used to learn representations conducive to effective clustering. We build baselines on benchmark multimodal intent and dialogue act datasets. UMC shows remarkable improvements of 2-6\% scores in clustering metrics over state-of-the-art methods, marking the first successful endeavor in this domain. The complete code and data are available at .","{example} Text-only clustering deviates from real multimodal utterance semantics, highlighting the need of multimodal information in semantics discovery."
GenTranslate: Large Language Models are Generative Multilingual Speech and Machine Translators,2402.06894v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.06894v2_0.pdf,"Recent advances in large language models (LLMs) have stepped forward the development of multilingual speech and machine translation by its reduced representation errors and incorporated external knowledge. However, both translation tasks typically utilize beam search decoding and top-1 hypothesis selection for inference. These techniques struggle to fully exploit the rich information in the diverse $N$-best hypotheses, making them less optimal for translation tasks that require a single, high-quality output sequence. In this paper, we propose a new generative paradigm for translation tasks, namely ``GenTranslate'', which builds upon LLMs to generate better results from the diverse translation versions in $N$-best list. Leveraging the rich linguistic knowledge and strong reasoning abilities of LLMs, our new paradigm can integrate the rich information in $N$-best candidates to generate a higher-quality translation result. Furthermore, to support LLM finetuning, we build and release a HypoTranslate dataset that contains over 592K hypotheses-translation pairs in 11 languages. Experiments on various speech and machine translation benchmarks ({e.g.}, FLEURS, CoVoST-2, WMT) demonstrate that our GenTranslate significantly outperforms the state-of-the-art model}.","Illustration of (a) Typical seq2seq translation with beam search decoding and top-1 hypothesis selection, (b) our ``GenTranslate'' with LLM integration."
A Unified Temporal Knowledge Graph Reasoning Model Towards Interpolation and Extrapolation,2405.18106v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2405.18106v1_0.png,"Temporal knowledge graph (TKG) reasoning has two settings: interpolation reasoning and extrapolation reasoning. Both of them draw plenty of research interest and have great significance. Methods of the former de-emphasize the temporal correlations among facts sequences, while methods of the latter require strict chronological order of knowledge and ignore inferring clues provided by missing facts of the past. These limit the practicability of TKG applications as almost all of the existing TKG reasoning methods are designed specifically to address either one setting. To this end, this paper proposes an original Temporal PAth-based Reasoning (TPAR) model for both the interpolation and extrapolation reasoning. TPAR performs a neural-driven symbolic reasoning fashion that is robust to ambiguous and noisy temporal data and with fine interpretability as well. Comprehensive experiments show that TPAR outperforms SOTA methods on the link prediction task for both the interpolation and the extrapolation settings. A novel pipeline experimental setting is designed to evaluate the performances of SOTA combinations and the proposed TPAR towards interpolation and extrapolation reasoning. More diverse experiments are conducted to show the robustness and interpretability of TPAR.",An illustration of Bellman-Ford-based recursive encoding.
Unsupervised Information Refinement Training of Large Language Models for Retrieval-Augmented Generation,2402.18150v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.18150v2_0.pdf,"Retrieval-augmented generation (RAG) enhances large language models (LLMs) by incorporating additional information from retrieval. However, studies have shown that LLMs still face challenges in effectively using the retrieved information, even ignoring it or being misled by it. The key reason is that the training of LLMs does not clearly make LLMs learn how to utilize input retrieved texts with varied quality. In this paper, we propose a novel perspective that considers the role of LLMs in RAG as ``Information Refiner'', which means that regardless of correctness, completeness, or usefulness of retrieved texts, LLMs can consistently integrate knowledge within the retrieved texts and model parameters to generate the texts that are more concise, accurate, and complete than the retrieved texts. To this end, we propose an information refinement training method named {-RAG} that optimizes LLMs for RAG in an unsupervised manner. is low-cost and general across various tasks. Extensive experiments on zero-shot prediction of 11 datasets in diverse tasks including Question Answering, Slot-Filling, Language Modeling, Dialogue, and Code Generation show that improves the performance of LLaMA2 by an average of 9.39\% relative points. also shows advantages in in-context learning and robustness of RAG.","We consider the role of LLMs in RAG as ``Information Refiner'' that can generate more concise, accurate, and complete texts than the input retrieved texts. In this way, LLM can consistently make RAG system produce positive information gain."
CSCD-NS: a Chinese Spelling Check Dataset for Native Speakers,2211.08788v3,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2211.08788v3_0.jpg,"In this paper, we present CSCD-NS, the first Chinese spelling check (CSC) dataset designed for native speakers, containing 40,000 samples from a Chinese social platform. Compared with existing CSC datasets aimed at Chinese learners, CSCD-NS is ten times larger in scale and exhibits a distinct error distribution, with a significantly higher proportion of word-level errors. To further enhance the data resource, we propose a novel method that simulates the input process through an input method, generating large-scale and high-quality pseudo data that closely resembles the actual error distribution and outperforms existing methods. Moreover, we investigate the performance of various models in this scenario, including large language models (LLMs), such as ChatGPT. The result indicates that generative models underperform BERT-like classification models due to strict length and pronunciation constraints. The high prevalence of word-level errors also makes CSC for native speakers challenging enough, leaving substantial room for improvement.","An error from SIGHAN: misspelling “错误” as “错勿”. Despite having the same pronunciation, it's hard to reproduce this error in the given context through a Chinese IME, no matter what input form is used."
Evaluating Dynamic Topic Models,2309.08627v1,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2309.08627v1_0.pdf,"There is a lack of quantitative measures to evaluate the progression of topics through time in dynamic topic models (DTMs). Filling this gap, we propose a novel evaluation measure for DTMs that analyzes the changes in the quality of each topic over time. Additionally, we propose an extension combining topic quality with the model's temporal consistency. We demonstrate the utility of the proposed measure by applying it to synthetic data and data from existing DTMs. We also conducted a human evaluation, which indicates that the proposed measure correlates well with human judgment. Our findings may help in identifying changing topics, evaluating different DTMs, and guiding future research in this area.","This figure illustrates the core concept presented in this paper. It illustrates the topic structure within DTMs. The vertical box highlights the set of topics for the first year, and the horizontal box shows the evolution of Topic~1 over time. Topic Quality (TQ) evaluates the topics for each year vertically, whereas Temporal Topic Quality (TTQ) evaluates each topic horizontally, capturing both the topic's evolution over time and the smoothness of topic progression."
How Abilities in Large Language Models are Affected by Supervised Fine-tuning Data Composition,2310.05492v4,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2310.05492v4_0.pdf,"Large language models (LLMs) with enormous pre-training tokens and parameters emerge diverse abilities, including math reasoning, code generation, and instruction following. These abilities are further enhanced by supervised fine-tuning (SFT). While the open-source community has explored ad-hoc SFT for enhancing individual capabilities, proprietary LLMs exhibit versatility across various skills. Therefore, understanding the facilitation of multiple abilities via SFT is paramount. In this study, we specificially focuses on the interplay of data composition between mathematical reasoning, code generation, and general human-aligning abilities during SFT. We propose four intriguing research questions to explore the association between model performance and various factors including data amount, composition ratio, model size and SFT strategies. Our experiments reveal that distinct capabilities scale differently and larger models generally show superior performance with same amount of data. Mathematical reasoning and code generation consistently improve with increasing data amount, whereas general abilities plateau after roughly a thousand samples. Moreover, we observe data composition appears to enhance various abilities under limited data conditions, yet can lead to performance conflicts when data is plentiful. Our findings also suggest the amount of composition data influences performance more than the composition ratio. In analysis of SFT strategies, we find that sequentially learning multiple skills risks catastrophic forgetting. Our proposed {Dual-stage Mixed Fine-tuning (DMT) strategy} offers a promising solution to learn multiple abilities with different scaling patterns.",The illustration of four different training strategies in this paper.
Inference to the Best Explanation in Large Language Models,2402.10767v2,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2402.10767v2_0.pdf,"While Large Language Models (LLMs) have found success in real-world applications, their underlying explanatory process is still poorly understood. This paper proposes {IBE-Eval}, a framework inspired by philosophical accounts on {Inference to the Best Explanation (IBE)} to advance the interpretation and evaluation of LLM explanations. {IBE-Eval} estimates the plausibility of natural language explanations through a combination of explicit logical and linguistic features including: {consistency}, {parsimony}, {coherence}, and {uncertainty}. Extensive experiments are conducted on {Causal Question Answering (CQA)}, where {IBE-Eval} is tasked to select the most plausible causal explanation amongst competing ones generated by the LLM (e.g. GPT 3.5 or LLaMA 2). The experiments reveal that {IBE-Eval} can successfully identify the best explanation with up to 77\% accuracy ($ 27\%$ above random), improving upon a GPT 3.5-as-a-judge baseline ($+17\%$) while being intrinsically more efficient and interpretable. Additional analysis suggests that, despite LLM-specific variances, generated explanations tend to conform to IBE criteria and that {IBE-Eval} is significantly correlated with human judgment, opening up opportunities for future development of automated explanation verification tools.","{IBE-Eval} qualifies LLM-generated explanations with a set of logical and linguistic selection criteria to identify the most plausible hypothesis. The corresponding explanation for each hypothesis is evaluated across the IBE criteria of logical consistency, parsimony, internal coherence, and linguistic uncertainty. A final plausibility score is computed across those features and the hypothesis with highest score is identified as the best explanation."
A Novel Cartography-Based Curriculum Learning Method Applied on RoNLI: The First Romanian Natural Language Inference Corpus,2405.11877v5,/export/fs06/yguan19/Figure1_Dataset/benchmark/img/2405.11877v5_0.pdf,"Natural language inference (NLI), the task of recognizing the entailment relationship in sentence pairs, is an actively studied topic serving as a proxy for natural language understanding. Despite the relevance of the task in building conversational agents and improving text classification, machine translation and other NLP tasks, to the best of our knowledge, there is no publicly available NLI corpus for the Romanian language. To this end, we introduce the first Romanian NLI corpus (RoNLI) comprising 58K training sentence pairs, which are obtained via distant supervision, and 6K validation and test sentence pairs, which are manually annotated with the correct labels. We conduct experiments with multiple machine learning methods based on distant learning, ranging from shallow models based on word embeddings to transformer-based neural networks, to establish a set of competitive baselines. Furthermore, we improve on the best model by employing a new curriculum learning strategy based on data cartography. Our dataset and code to reproduce the baselines are available at \url{https://github.com/Eduard6421/RONLI}.","Data cartography visualization of the RoNLI dataset based on fine-tuning the Ro-BERT model \cite{Dumitrescu-EMNLP-2020}. In the left-hand side plot, the $y$-axis corresponds to the level of confidence exhibited by the model during training, while the $x$-axis represents the variability of the confidence level. Adjacent to the primary plot, three histograms are displayed on the right-hand side, each representing a different metric: the confidence, the variability of confidence, and the correctness. The visualization offers a comprehensive overview of our dataset characteristics and the behavior of Ro-BERT during training. Best viewed in color.\vspace{-2mm}"
